contig_id	IT1_A	IT1_B	IT1_C	IT2_A	IT2_B	IT2_C	IT3_A	IT3_B	IT3_C	IT4_A	IT4_B	IT4_C	length
IT4_3134899	85	127	123	137	92	100	262	256	258	400	441	378	24214
IT4_3136083	24	12	12	10	4	16	10	14	18	48	40	31	4833
IT4_3139222	78	119	103	40	45	50	35	57	67	127	151	123	12077
IT4_3139455	98	126	119	67	59	50	29	45	40	80	91	56	6390
IT4_3139456	41	35	14	24	25	20	8	12	18	38	42	24	5681
IT4_3140619	24	25	20	30	22	20	46	42	49	54	99	63	3025
IT4_3142682	13	6	21	10	10	8	18	4	6	16	16	20	3100
IT4_3143446	0	0	0	0	0	2	19	20	22	50	76	35	5269
IT4_3144120	30	35	38	26	22	32	49	43	47	92	72	77	7870
IT4_3144537	57	46	41	56	58	45	41	85	60	64	86	44	5275
IT4_3144736	34	51	45	50	20	32	40	72	46	106	88	66	3381
IT4_3145431	39	39	45	54	64	34	54	46	45	64	88	88	6453
IT4_3145446	30	23	48	27	34	20	24	46	28	44	73	36	7466
IT4_314559	18	41	43	22	23	20	42	46	18	41	43	44	7345
IT4_3145772	29	14	23	13	16	13	16	14	22	46	56	41	5686
IT4_3146175	46	54	50	20	23	31	24	30	49	72	122	58	7679
IT4_3146808	59	65	52	44	44	38	62	80	70	156	189	109	9551
IT4_3150302	4	32	34	22	19	14	39	22	42	40	41	10	5838
IT4_3150790	157	190	150	171	176	156	279	203	146	222	220	212	15787
IT4_3150815	43	36	43	41	46	20	30	39	35	70	81	75	5112
IT4_315219	20	34	45	30	20	16	30	30	54	74	139	80	5123
IT4_3152920	18	32	29	21	12	14	13	24	11	77	49	62	5762
IT4_315338	57	58	58	53	26	39	37	59	49	93	82	65	5378
IT4_3154670	16	28	26	16	20	31	30	26	16	56	63	37	5657
IT4_3154855	21	52	45	51	43	31	26	62	61	37	58	31	9484
IT4_3156054	48	51	75	55	43	52	56	69	77	83	88	48	9779
IT4_3156252	10	18	6	18	5	13	41	40	46	83	83	84	6981
IT4_3156388	18	24	30	15	13	13	25	30	19	33	39	30	3186
IT4_3156934	20	25	24	16	24	22	24	20	11	46	42	24	4876
IT4_3157400	9	20	18	12	20	12	15	29	24	47	50	32	4863
IT4_3157434	31	35	46	23	26	12	24	36	18	44	49	45	5906
IT4_3157736	180	236	252	214	185	169	198	290	279	354	439	363	5519
IT4_315923	47	56	70	57	43	41	54	50	52	126	97	131	7992
IT4_315933	17	7	2	52	24	41	114	125	213	218	341	224	17854
IT4_3159597	89	137	125	121	48	72	106	100	144	209	253	176	4933
IT4_3159847	119	139	155	129	98	119	227	242	224	409	572	472	24915
IT4_3160549	19	14	13	13	14	8	7	16	15	58	54	62	6250
IT4_3160895	14	26	18	6	16	14	8	16	18	20	13	14	3104
IT4_3161748	38	38	44	33	22	24	37	53	23	59	54	44	3856
IT4_3161941	247	245	216	229	209	204	235	336	223	256	331	243	9092
IT4_3162416	54	47	71	40	25	27	37	79	86	186	283	217	10632
